consecutive_losses,balance_ratio,avg_bet_size,churn
8,1.39,28.36,0
8,1.54,29.35,0
6,0.57,11.45,1
9,1.9,14.41,0
7,0.89,21.59,1
2,0.24,14.11,1
2,0.71,84.55,0
7,1.15,9.92,0
5,1.74,63.05,0
1,1.65,18.82,0
10,0.76,65.62,1
8,1.32,2.73,0
7,1.85,9.28,0
2,0.7,1.6,0
2,1.69,64.19,0
9,1.15,69.62,0
1,0.34,85.98,1
1,0.25,75.49,0
8,1.75,32.32,0
2,1.02,92.1,0
10,0.87,31.42,1
4,1.25,63.07,0
9,0.38,82.57,1
10,0.34,63.17,1
2,0.67,9.08,0
3,1.71,77.22,0
10,1.69,48.95,0
10,0.12,2.89,1
9,1.13,73.01,0
7,0.94,72.16,1
6,1.7,75.42,0
0,0.59,63.66,0
4,1.06,94.39,0
2,1.52,67.39,0
1,1.88,33.94,0
10,0.57,81.68,1
0,0.4,9.45,1
6,1.68,72.98,0
8,0.42,24.26,1
4,0.82,46.02,1
8,1.65,50.79,0
8,1.47,69.32,0
10,0.91,65.6,1
4,1.87,34.78,0
8,1.16,50.99,0
0,1.63,19.31,0
8,1.93,35.38,0
1,1.83,30.86,0
5,1.63,50.69,0
4,0.42,71.82,1
9,0.15,85.91,1
1,0.49,42.34,0
7,0.86,28.74,1
5,1.18,94.89,0
5,0.45,10.33,0
4,0.93,99.22,0
9,0.66,34.17,1
9,0.56,34.12,1
2,1.74,19.84,0
8,1.2,96.71,0
5,1.62,41.21,0
8,1.85,76.1,0
3,1.89,61.95,0
2,0.41,76.37,0
7,0.34,21.21,1
0,0.76,17.74,0
4,1.17,94.04,0
2,1.01,99.59,0
7,1.88,26.87,0
4,1.3,12.76,0
4,1.59,5.01,0
4,0.13,51.3,1
9,1.14,63.96,0
2,1.54,86.38,0
8,0.75,90.52,1
2,1.35,2.78,0
6,0.14,80.14,1
3,1.98,19.32,0
2,1.3,63.0,0
6,1.08,52.76,1
9,0.97,23.46,0
9,1.79,98.13,0
3,0.94,67.83,0
8,0.6,14.26,1
7,0.48,36.26,1
8,1.1,63.8,0
6,0.99,4.49,0
4,1.37,21.94,0
5,1.95,55.17,0
2,0.11,16.35,1
9,1.04,3.74,1
9,0.29,47.43,1
1,1.3,35.75,0
4,1.9,19.38,0
1,0.28,59.84,0
1,1.63,34.28,0
1,1.59,64.94,0
3,1.11,66.67,0
7,0.49,82.25,1
7,1.2,48.12,1
10,1.45,69.19,0
0,1.51,2.38,0
4,0.78,93.15,0
2,1.32,45.33,0
8,0.54,41.92,1
10,0.68,95.82,1
2,0.86,17.04,0
2,1.7,45.97,0
9,0.53,16.48,1
7,0.81,61.36,0
5,0.71,82.53,0
8,1.16,55.01,1
6,0.14,76.76,1
8,1.85,10.04,0
5,1.12,60.72,0
2,0.36,31.28,0
8,1.71,28.62,0
9,0.74,75.86,0
2,1.41,97.3,0
10,0.18,78.89,1
1,1.24,20.21,0
1,0.49,51.23,1
8,1.87,3.15,0
0,1.99,30.3,0
3,1.32,47.83,0
5,0.84,70.19,0
0,0.98,46.1,0
9,0.32,93.77,1
2,1.18,58.57,0
8,1.16,49.38,0
8,0.74,50.66,1
9,0.95,33.46,1
10,1.88,57.59,0
6,1.55,25.68,0
0,1.69,69.93,0
10,0.58,23.35,1
3,1.42,50.92,0
1,1.83,80.87,0
0,0.84,3.23,0
7,0.2,22.06,1
4,0.55,56.01,0
6,1.35,73.67,0
4,0.26,38.24,1
7,1.3,84.67,0
1,1.58,71.57,0
2,1.6,13.0,0
1,0.53,29.55,1
0,0.18,82.66,0
0,0.88,58.58,0
7,0.41,93.65,1
4,1.32,81.9,0
9,0.58,7.96,1
7,0.26,17.5,1
9,0.79,17.64,0
0,1.99,40.94,0
10,0.8,3.75,1
5,1.59,55.48,0
10,0.74,78.69,1
2,0.2,21.95,1
10,1.22,18.94,0
0,1.35,69.63,0
1,0.44,8.32,0
7,1.32,68.16,0
10,1.84,23.59,0
3,0.24,11.94,1
4,0.65,27.92,1
7,0.98,70.7,0
8,0.48,52.29,1
10,0.5,79.94,1
5,0.22,23.25,1
4,0.24,93.05,1
9,1.79,14.66,0
1,0.29,71.76,1
0,0.27,82.05,0
6,0.42,15.31,1
10,0.17,10.05,1
5,1.63,69.0,0
0,1.42,91.89,0
10,0.49,24.89,1
0,0.92,65.42,0
2,0.48,59.73,1
7,1.26,38.23,0
7,0.82,48.04,1
2,0.19,77.19,1
9,0.65,58.71,1
0,1.28,8.65,0
5,1.97,11.1,0
10,1.84,23.51,0
0,0.54,84.31,0
3,0.27,61.82,0
2,1.15,67.66,0
8,1.31,1.17,0
0,0.76,3.75,0
5,0.94,19.94,0
4,1.67,14.68,0
8,0.79,89.85,1
10,0.91,66.67,1
2,1.42,8.44,0
7,1.04,44.99,0
9,1.46,46.33,0
6,0.83,85.43,0
7,1.0,35.78,0
10,0.48,13.68,1
3,1.72,31.91,0
0,1.21,62.21,0
9,0.9,68.97,0
2,0.69,89.28,0
3,0.58,78.89,0
9,1.29,12.47,0
9,1.59,55.73,0
7,1.24,66.27,0
0,1.77,36.54,0
5,1.13,59.34,0
1,1.46,63.05,0
8,1.12,71.18,0
0,0.86,94.93,0
0,0.86,58.89,0
2,0.61,70.26,1
7,0.44,93.96,1
10,0.24,79.9,1
0,0.92,66.43,0
7,1.69,39.4,0
1,1.37,12.71,0
5,1.25,97.12,0
1,1.95,73.02,0
6,0.14,19.51,1
9,0.42,41.16,1
8,1.82,46.97,0
4,0.5,48.56,0
0,1.92,16.77,0
3,1.56,72.92,0
7,0.47,60.58,1
5,0.28,36.96,1
5,0.35,99.97,1
3,0.12,64.69,1
0,1.5,29.02,0
1,0.47,50.6,0
0,1.78,94.64,0
10,0.91,76.53,1
8,1.19,44.79,0
0,0.58,15.07,0
0,1.19,43.39,0
0,0.59,15.39,0
8,0.97,48.07,1
0,1.37,61.2,0
0,0.28,89.03,1
8,0.91,31.17,1
4,0.69,95.72,0
10,1.6,25.49,0
3,1.27,86.67,0
5,0.34,23.61,1
3,1.47,13.89,0
0,0.55,9.55,1
10,0.19,73.6,1
2,1.37,40.34,0
5,0.75,76.98,0
3,0.53,92.22,1
2,1.45,8.38,0
0,1.01,4.83,0
10,0.98,76.72,0
9,1.85,16.62,0
1,1.76,22.93,0
4,1.76,12.97,0
1,1.0,57.87,0
1,1.34,16.22,0
9,1.54,59.33,0
3,1.02,55.23,0
2,1.81,26.05,0
5,0.74,23.13,1
9,0.63,30.87,1
7,0.73,88.48,1
10,1.35,67.55,0
8,0.44,21.32,1
6,1.93,68.08,0
4,0.46,89.7,0
8,0.4,63.43,1
8,0.25,3.64,1
9,1.73,70.4,0
9,0.41,7.0,1
2,0.16,98.04,1
7,0.12,29.98,1
4,1.59,35.15,0
3,1.12,63.72,0
4,0.61,20.64,1
4,1.74,16.47,0
0,1.31,26.98,0
1,1.44,54.16,0
5,0.83,91.79,1
9,0.67,19.97,1
8,1.4,74.58,0
3,1.29,34.76,0
6,0.54,78.09,1
0,0.54,71.98,0
5,1.73,33.4,0
2,1.63,59.46,0
8,0.39,18.57,1
9,0.83,18.13,1
4,0.95,41.19,1
3,1.14,26.62,0
3,1.25,85.65,0
1,1.83,57.78,0
10,0.86,89.94,0
7,1.05,8.51,0
2,0.4,42.13,0
3,0.53,56.01,1
4,0.16,79.0,1
10,0.92,6.71,1
8,0.4,49.46,1
2,0.84,80.3,0
5,1.18,63.18,0
9,0.89,54.3,1
2,1.04,29.41,0
7,1.39,79.24,0
1,1.22,97.2,0
5,1.06,11.82,1
8,1.28,2.35,0
2,0.26,17.01,1
3,1.08,39.65,0
6,0.86,33.62,1
3,0.39,25.87,1
7,1.53,83.28,0
2,0.96,8.18,0
8,1.69,97.88,0
1,1.97,75.5,0
7,1.45,9.02,0
7,1.92,94.54,0
3,0.17,22.07,1
5,1.34,86.75,0
9,1.74,82.09,0
0,0.28,38.3,1
7,1.0,31.79,0
4,1.05,50.61,0
4,1.35,57.14,0
4,0.91,91.67,0
1,1.33,69.81,0
3,0.35,92.23,0
5,1.74,79.99,0
8,1.76,40.3,0
0,1.83,61.96,0
6,0.76,42.91,1
5,1.03,23.11,0
2,1.29,51.68,0
2,1.64,47.22,0
8,1.26,25.75,0
2,0.25,97.59,0
3,0.1,73.67,1
1,1.15,13.06,0
7,0.95,42.63,0
10,1.35,90.64,1
4,0.33,67.43,1
3,1.56,35.56,0
8,1.54,55.42,0
0,0.29,17.95,1
3,0.71,62.27,0
1,1.94,76.17,0
8,0.64,53.74,1
4,1.97,31.69,0
2,1.47,64.33,0
2,1.99,9.11,0
6,1.1,60.96,0
6,1.16,2.59,0
6,1.66,20.06,0
8,0.25,20.11,1
10,0.86,35.18,1
4,1.24,14.14,0
7,0.77,58.13,0
6,1.24,4.4,0
0,0.46,96.11,0
9,1.74,36.6,0
7,1.47,8.23,0
4,0.34,70.29,1
7,1.6,18.73,0
1,1.3,20.48,0
8,0.71,32.86,0
4,1.54,55.44,0
0,1.85,60.0,0
5,1.13,87.59,0
5,1.3,41.76,0
7,0.56,7.81,1
0,1.37,1.07,0
5,1.94,11.61,0
10,0.19,88.04,1
3,1.91,39.65,0
2,1.38,4.98,0
4,0.75,31.07,0
1,0.95,34.99,0
8,0.89,65.14,1
6,1.1,50.38,1
0,1.22,68.09,0
10,1.11,54.7,0
7,1.75,91.26,0
9,1.56,31.86,0
3,1.75,18.6,0
10,1.51,65.85,0
6,0.82,52.16,0
0,0.77,60.69,0
9,0.17,63.65,1
0,1.82,48.46,0
7,1.48,36.69,0
3,1.92,87.95,0
1,1.94,69.31,0
1,0.9,61.13,0
1,1.77,33.66,0
9,1.48,57.57,0
8,0.38,33.14,1
4,1.55,83.99,0
1,1.6,44.51,0
1,0.57,72.99,1
4,0.13,26.07,1
3,1.18,31.87,0
6,1.1,98.53,0
5,0.95,11.62,0
7,1.13,72.39,0
9,0.12,39.65,1
0,1.79,64.61,0
8,0.39,16.07,1
0,0.98,5.02,0
3,0.85,87.57,0
1,1.27,65.0,0
8,1.71,85.46,0
3,1.71,62.3,0
7,0.5,46.78,1
0,1.26,10.53,0
5,1.8,56.74,0
6,1.34,65.44,0
7,1.4,30.45,0
5,1.35,68.8,0
7,1.64,86.95,0
9,0.6,23.44,1
5,1.61,93.85,0
8,1.31,81.79,0
3,1.58,94.27,0
0,1.69,44.33,0
8,1.59,55.35,0
2,1.0,62.79,0
4,0.29,3.48,1
8,1.05,27.82,0
3,1.33,65.44,0
7,1.64,54.84,0
9,0.53,92.75,1
8,1.75,12.27,0
5,1.43,91.66,0
5,1.3,40.3,0
0,1.26,38.41,0
4,0.38,49.98,1
5,1.23,91.72,0
6,1.89,37.18,0
9,1.9,40.69,0
4,1.64,29.68,0
9,0.76,3.78,1
4,0.78,94.81,0
0,1.9,25.13,0
9,1.63,27.88,0
0,0.76,72.74,0
8,1.1,81.74,0
10,1.12,43.66,0
8,1.31,92.93,0
9,1.37,91.03,0
9,1.8,84.32,0
10,0.28,61.05,1
8,0.24,43.42,1
4,0.51,79.78,0
5,1.17,8.72,0
5,0.67,2.2,1
1,0.12,4.66,1
0,0.32,62.75,0
5,0.29,37.16,1
1,1.9,62.3,0
1,1.83,93.13,0
6,0.11,61.08,1
0,1.93,52.83,0
3,1.03,89.23,0
3,0.17,55.99,1
6,0.23,29.23,1
2,1.65,30.98,0
3,1.46,70.78,0
6,0.11,63.11,1
8,1.23,42.48,0
8,1.81,73.87,0
1,1.31,87.44,0
6,1.5,53.13,0
9,1.17,62.21,0
0,0.45,83.3,0
6,0.29,48.86,1
1,0.37,59.12,1
2,1.22,38.3,0
1,0.83,99.7,0
0,0.56,3.5,0
10,1.54,75.15,0
8,0.24,81.48,1
2,0.8,55.3,0
10,0.64,64.47,1
3,0.32,92.5,1
8,1.26,81.35,0
5,0.33,66.08,1
0,0.74,82.96,0
7,0.8,8.11,1
8,1.13,51.95,0
6,0.96,97.69,0
7,0.81,56.21,1
9,0.64,64.96,1
8,0.85,2.68,1
6,1.6,51.94,0
9,1.25,30.27,0
10,1.3,36.4,0
2,1.93,64.71,0
7,1.48,39.94,0
6,0.86,90.92,1
2,1.62,32.32,0
7,1.69,13.01,0
0,1.89,79.67,0
7,0.69,83.13,1
1,1.7,69.8,0
4,1.6,13.95,0
7,0.32,76.41,1
6,1.51,23.42,0
0,0.77,5.11,0
6,1.52,19.92,0
4,1.61,42.31,0
7,1.21,38.61,0
1,1.69,21.6,0
3,0.68,77.56,0
0,0.82,26.88,0
5,0.52,21.52,0
0,0.87,20.78,0
9,0.22,70.09,1
2,0.83,43.77,0
0,0.98,46.27,0
1,0.8,28.15,0
10,0.31,22.43,1
7,1.44,96.08,0
4,1.85,73.02,0
7,0.38,96.67,1
6,1.52,5.85,0
6,1.33,36.51,0
10,0.74,28.34,1
9,1.46,36.92,0
9,1.4,11.5,0
2,1.05,2.62,0
7,1.39,34.48,0
5,1.82,7.3,0
10,1.39,42.31,0
10,1.36,77.71,1
8,1.49,97.84,0
2,1.29,52.37,0
2,1.22,25.49,0
10,1.64,53.76,0
2,1.07,48.18,0
2,0.22,89.84,1
6,1.04,89.59,0
6,1.62,27.97,0
10,1.74,35.91,0
3,0.24,91.33,0
0,0.49,32.48,0
2,0.96,21.58,0
5,0.73,7.11,0
10,0.4,57.69,1
9,1.76,54.1,0
0,1.69,85.16,0
4,0.81,34.48,0
2,1.97,70.98,0
0,1.19,34.63,0
9,1.58,74.6,0
5,0.58,4.48,0
7,0.55,5.26,1
3,1.41,53.61,0
1,1.77,60.0,0
3,1.21,70.07,0
6,1.59,27.61,0
7,1.21,61.4,0
4,1.25,13.66,0
9,1.88,58.0,0
4,0.51,65.85,0
6,1.65,31.98,0
4,0.38,60.5,1
9,1.65,62.27,0
4,0.99,65.51,0
7,0.75,40.49,1
6,1.99,67.82,0
4,1.88,9.78,0
2,0.43,99.58,1
4,1.43,96.68,0
2,1.38,29.68,0
2,0.67,60.34,0
8,1.89,11.13,0
7,0.8,29.55,1
7,1.48,40.84,0
0,0.19,53.17,1
0,0.86,15.51,0
1,1.75,88.31,0
5,1.41,89.1,0
6,1.57,65.13,0
6,0.92,44.24,0
2,1.12,13.31,0
6,1.42,32.94,0
1,0.34,82.35,0
9,1.28,58.25,0
2,0.6,12.59,0
2,1.71,26.55,0
4,0.33,63.84,1
2,1.07,99.64,0
4,1.63,20.52,0
5,0.56,50.62,1
5,0.93,34.34,1
3,1.54,94.52,0
7,0.77,96.9,1
2,1.81,64.61,0
1,1.86,12.8,0
2,1.59,18.09,0
0,1.28,8.81,0
6,0.82,21.32,1
4,1.47,12.0,0
6,1.01,93.38,0
6,0.2,93.42,1
8,0.82,13.34,0
6,0.32,61.19,1
8,1.77,46.33,0
5,1.45,98.68,0
5,1.79,48.83,0
3,1.69,20.1,0
4,0.84,59.4,0
7,1.29,82.1,0
5,1.55,84.26,0
2,0.86,4.18,0
4,0.52,40.7,0
3,1.78,65.97,0
6,0.88,49.78,1
10,0.95,9.64,0
1,1.52,84.77,0
8,0.73,11.93,1
3,0.16,77.43,1
0,1.18,54.37,0
5,1.08,42.56,0
8,1.18,28.39,0
1,0.69,37.24,0
0,0.48,55.97,0
6,0.67,18.34,1
0,0.27,69.21,0
6,1.19,23.73,0
1,1.51,43.91,0
4,1.62,56.32,0
10,1.85,80.86,0
2,1.17,26.51,0
8,0.2,7.75,1
10,1.72,61.41,0
5,0.32,19.67,1
7,0.5,14.32,1
3,0.17,75.78,1
2,0.24,80.51,1
2,0.7,81.42,0
3,1.3,45.12,0
4,1.4,9.89,0
4,1.87,37.0,0
4,0.12,39.66,1
6,0.39,39.05,1
4,0.92,11.71,0
3,1.94,64.05,0
1,1.56,37.34,0
6,1.97,40.41,0
0,1.17,91.18,0
6,1.48,63.1,0
10,0.51,82.33,1
2,1.15,23.26,0
9,1.53,78.94,0
9,0.56,83.99,1
2,1.55,22.36,0
6,0.38,39.35,1
1,1.73,79.83,0
3,0.7,87.6,1
3,1.38,85.2,0
3,1.57,55.63,0
6,0.51,10.43,1
7,1.53,4.78,0
6,0.16,54.19,1
8,0.34,23.79,1
9,0.69,21.7,1
3,0.5,4.29,1
3,1.26,78.3,0
2,1.39,74.16,0
2,1.51,47.75,0
8,1.83,29.34,0
10,0.12,66.29,1
2,0.91,99.94,0
2,1.55,93.23,0
2,1.45,59.28,0
7,1.91,62.33,0
2,1.87,56.4,0
2,0.23,37.2,1
6,1.75,96.02,0
1,1.82,80.69,0
0,0.78,34.98,0
5,0.78,29.83,0
4,1.8,72.36,0
9,1.39,5.27,0
0,1.59,48.03,0
0,1.8,6.12,0
1,1.14,35.02,0
6,0.67,63.8,1
8,0.65,13.29,1
0,1.14,20.28,0
2,1.24,72.41,0
0,1.19,70.42,0
3,0.17,72.7,1
8,1.02,25.75,0
0,0.34,33.89,0
5,1.23,1.4,0
1,0.41,60.23,0
3,1.19,48.77,0
0,1.99,71.02,0
2,1.36,34.72,0
9,1.42,87.39,0
3,0.35,51.79,1
7,1.52,61.83,0
3,0.17,17.05,0
9,1.64,38.67,0
4,0.14,97.82,1
9,0.62,56.73,1
9,1.33,91.96,0
5,1.13,30.44,0
6,1.54,6.62,0
10,1.72,68.71,0
1,1.66,54.0,0
5,1.37,80.98,0
9,0.8,31.93,1
10,1.95,13.33,0
10,0.19,20.64,1
10,1.71,18.86,0
8,0.67,64.79,1
2,0.12,43.37,1
5,0.34,86.89,1
9,1.82,87.53,0
0,0.68,99.23,0
0,0.43,66.28,1
3,0.61,60.05,1
10,1.74,98.29,0
0,1.14,96.9,0
8,0.83,43.94,0
10,1.89,39.24,0
2,0.76,61.08,0
3,1.53,89.45,0
7,0.98,47.45,0
7,0.64,83.96,1
3,0.14,78.69,1
3,0.51,82.5,0
4,1.31,23.24,0
0,0.75,82.4,0
5,1.07,84.13,0
6,1.81,88.51,0
10,0.25,57.83,1
9,0.13,28.71,1
7,0.59,82.68,1
0,0.74,69.77,0
9,1.04,22.44,1
7,1.53,66.17,0
6,0.41,98.75,1
2,1.91,14.48,0
2,1.02,21.61,0
10,0.44,82.35,1
2,0.64,91.66,0
5,0.95,40.44,1
7,0.41,75.14,1
2,0.8,68.54,0
8,1.4,55.63,0
5,1.15,5.44,0
9,1.0,78.84,1
0,1.94,57.64,0
5,0.48,58.66,0
3,0.67,88.98,0
4,0.11,82.12,1
4,1.37,2.13,0
7,0.4,26.38,1
10,1.55,2.14,0
4,0.91,16.4,1
2,1.73,33.24,0
1,0.67,10.17,1
7,1.45,16.93,0
0,1.39,77.65,0
5,1.15,88.86,0
4,1.95,19.63,0
9,1.32,52.24,0
8,1.77,8.41,0
9,0.66,53.08,1
10,0.3,43.51,1
7,0.2,32.53,1
7,1.73,17.67,0
4,1.22,70.85,0
9,1.34,48.26,0
1,1.6,55.81,0
8,0.76,97.99,1
10,0.46,50.36,1
1,1.4,30.13,0
10,1.65,6.01,0
5,1.11,4.19,0
2,0.98,99.43,0
3,1.37,50.18,0
7,1.63,74.5,0
5,1.39,50.66,0
2,0.16,9.9,1
3,0.89,87.94,0
1,1.53,95.19,0
5,1.47,24.67,0
3,0.88,71.6,0
6,0.79,1.14,1
0,1.46,40.93,0
5,0.23,63.78,1
1,1.98,56.59,0
7,1.24,31.86,0
0,1.25,74.38,0
1,0.58,36.92,0
0,1.97,5.57,0
5,1.71,89.17,0
2,1.5,25.1,0
5,1.45,28.02,0
5,0.65,54.07,1
0,0.61,98.93,0
6,0.49,58.47,0
10,1.97,77.02,0
2,1.49,71.85,0
10,1.56,82.12,0
3,1.15,70.14,0
6,1.32,65.18,0
6,0.18,17.08,1
3,0.17,98.99,1
10,0.26,56.94,1
8,1.68,57.66,0
4,0.18,2.28,1
7,1.61,16.64,0
4,1.41,11.02,0
10,1.29,17.04,0
4,0.91,96.26,0
8,1.55,14.11,0
10,0.87,42.0,1
10,1.7,41.31,0
0,1.87,8.82,0
4,0.2,51.65,1
6,0.32,91.85,1
5,1.18,97.1,0
6,0.8,5.58,1
0,0.51,86.82,0
9,0.59,95.21,1
3,0.28,17.23,1
7,1.73,46.57,0
6,0.47,63.49,1
9,1.65,75.26,0
3,0.37,17.84,0
0,1.3,90.19,0
7,0.74,48.75,1
1,1.18,94.09,0
7,0.56,12.51,1
7,0.55,68.64,1
2,0.21,69.36,1
3,1.68,14.2,0
5,0.82,7.54,0
4,0.11,62.86,1
0,1.54,64.14,0
10,1.05,12.08,0
1,0.18,69.44,1
8,0.31,1.81,1
4,1.61,2.72,0
1,1.81,77.8,0
4,0.63,45.88,0
1,1.24,43.88,0
9,0.43,31.86,1
3,1.1,86.26,0
10,0.62,40.02,1
10,1.65,36.18,0
6,1.72,26.73,0
6,0.15,49.56,1
5,1.14,51.78,0
2,0.76,82.3,0
8,1.46,83.31,0
10,0.78,9.47,1
1,1.42,28.33,0
4,0.35,6.95,0
10,1.14,53.35,1
1,1.23,83.32,0
8,1.5,65.45,0
2,1.48,8.4,0
7,1.76,12.37,0
1,1.44,90.18,0
10,1.1,22.27,0
2,1.26,38.3,0
4,1.29,95.65,0
6,0.35,15.67,1
2,0.36,66.82,1
1,1.14,87.16,0
0,1.36,51.58,0
9,1.65,62.96,0
8,0.75,60.21,1
9,0.54,88.61,1
7,0.72,30.76,1
0,0.29,24.3,0
2,1.75,23.07,0
2,1.3,48.59,0
1,1.26,55.69,0
4,0.44,30.4,1
0,0.58,10.79,0
4,0.64,47.05,1
7,1.94,44.44,0
10,0.15,49.97,1
4,0.62,36.58,0
5,1.15,69.95,0
4,0.94,10.94,0
9,1.67,45.68,0
7,1.06,21.52,0
6,0.38,33.24,1
7,0.55,26.87,1
8,0.88,8.1,0
6,1.18,22.75,0
1,1.46,66.38,0
5,0.1,69.91,1
3,1.14,11.41,0
3,0.16,69.97,1
9,0.93,83.09,0
0,0.83,41.02,0
9,1.65,20.48,0
9,0.4,37.33,1
6,0.34,94.73,1
0,0.76,46.59,0
10,1.01,11.31,0
7,1.28,47.99,0
1,1.67,97.46,0
4,0.75,78.26,0
3,1.19,49.89,0
4,1.75,62.4,0
9,0.4,1.92,1
8,0.55,86.79,1
3,1.29,85.54,0
1,1.93,34.3,0
8,1.32,72.86,0
2,0.16,27.93,0
10,0.69,67.42,1
9,1.65,94.91,0
4,1.62,52.57,0
10,0.38,24.26,1
2,1.34,45.4,0
4,1.37,84.49,0
